Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
10/20/2021,01/01/2020,10/16/2021,AK,Aleutians East Borough,2013,Noncore,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Anchorage Municipality,2020,Medium metro,366,4133,
10/20/2021,01/01/2020,10/16/2021,AK,Bethel Census Area,2050,Noncore,18,194,
10/20/2021,01/01/2020,10/16/2021,AK,Denali Borough,2068,Noncore,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Dillingham Census Area,2070,Noncore,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Fairbanks North Star Borough,2090,Small metro,85,954,
10/20/2021,01/01/2020,10/16/2021,AK,Hoonah-Angoon Census Area,2105,Noncore,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Juneau City and Borough,2110,Micropolitan,,307,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Kenai Peninsula Borough,2122,Noncore,31,680,
10/20/2021,01/01/2020,10/16/2021,AK,Ketchikan Gateway Borough,2130,Micropolitan,10,175,
10/20/2021,01/01/2020,10/16/2021,AK,Kodiak Island Borough,2150,Noncore,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,91,1164,
10/20/2021,01/01/2020,10/16/2021,AK,North Slope Borough,2185,Noncore,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Northwest Arctic Borough,2188,Noncore,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Sitka City and Borough,2220,Noncore,,101,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Southeast Fairbanks Census Area,2240,Noncore,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Valdez-Cordova Census Area,2261,Noncore,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AK,Wade Hampton Census Area,2270,Noncore,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AL,Autauga County,1001,Medium metro,122,956,
10/20/2021,01/01/2020,10/16/2021,AL,Baldwin County,1003,Small metro,473,4386,
10/20/2021,01/01/2020,10/16/2021,AL,Barbour County,1005,Noncore,58,500,
10/20/2021,01/01/2020,10/16/2021,AL,Bibb County,1007,Large fringe metro,38,354,
10/20/2021,01/01/2020,10/16/2021,AL,Blount County,1009,Large fringe metro,63,916,
10/20/2021,01/01/2020,10/16/2021,AL,Bullock County,1011,Noncore,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AL,Butler County,1013,Noncore,55,452,
10/20/2021,01/01/2020,10/16/2021,AL,Calhoun County,1015,Small metro,444,3031,
10/20/2021,01/01/2020,10/16/2021,AL,Chambers County,1017,Micropolitan,42,666,
10/20/2021,01/01/2020,10/16/2021,AL,Cherokee County,1019,Noncore,23,521,
10/20/2021,01/01/2020,10/16/2021,AL,Chilton County,1021,Large fringe metro,51,738,
10/20/2021,01/01/2020,10/16/2021,AL,Choctaw County,1023,Noncore,17,218,
10/20/2021,01/01/2020,10/16/2021,AL,Clarke County,1025,Noncore,22,519,
10/20/2021,01/01/2020,10/16/2021,AL,Clay County,1027,Noncore,42,355,
10/20/2021,01/01/2020,10/16/2021,AL,Cleburne County,1029,Noncore,22,268,
10/20/2021,01/01/2020,10/16/2021,AL,Coffee County,1031,Micropolitan,150,1017,
10/20/2021,01/01/2020,10/16/2021,AL,Colbert County,1033,Small metro,238,1364,
10/20/2021,01/01/2020,10/16/2021,AL,Conecuh County,1035,Noncore,26,252,
10/20/2021,01/01/2020,10/16/2021,AL,Coosa County,1037,Micropolitan,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AL,Covington County,1039,Noncore,179,1066,
10/20/2021,01/01/2020,10/16/2021,AL,Crenshaw County,1041,Noncore,40,330,
10/20/2021,01/01/2020,10/16/2021,AL,Cullman County,1043,Micropolitan,304,2143,
10/20/2021,01/01/2020,10/16/2021,AL,Dale County,1045,Micropolitan,105,850,
10/20/2021,01/01/2020,10/16/2021,AL,Dallas County,1047,Micropolitan,148,958,
10/20/2021,01/01/2020,10/16/2021,AL,DeKalb County,1049,Noncore,157,1383,
10/20/2021,01/01/2020,10/16/2021,AL,Elmore County,1051,Medium metro,69,1246,
10/20/2021,01/01/2020,10/16/2021,AL,Escambia County,1053,Noncore,106,797,
10/20/2021,01/01/2020,10/16/2021,AL,Etowah County,1055,Small metro,522,3229,
10/20/2021,01/01/2020,10/16/2021,AL,Fayette County,1057,Noncore,35,315,
10/20/2021,01/01/2020,10/16/2021,AL,Franklin County,1059,Noncore,42,588,
10/20/2021,01/01/2020,10/16/2021,AL,Geneva County,1061,Small metro,74,642,
10/20/2021,01/01/2020,10/16/2021,AL,Greene County,1063,Noncore,,139,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AL,Hale County,1065,Small metro,21,274,
10/20/2021,01/01/2020,10/16/2021,AL,Henry County,1067,Small metro,,271,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/20/2021,01/01/2020,10/16/2021,AL,Houston County,1069,Small metro,815,4037,
10/20/2021,01/01/2020,10/16/2021,AL,Jackson County,1071,Micropolitan,116,1233,
10/20/2021,01/01/2020,10/16/2021,AL,Jefferson County,1073,Large central metro,2834,20480,
10/20/2021,01/01/2020,10/16/2021,AL,Lamar County,1075,Noncore,13,207,
10/20/2021,01/01/2020,10/16/2021,AL,Lauderdale County,1077,Small metro,355,2798,
10/20/2021,01/01/2020,10/16/2021,AL,Lawrence County,1079,Small metro,32,598,
10/20/2021,01/01/2020,10/16/2021,AL,Lee County,1081,Small metro,405,2489,
10/20/2021,01/01/2020,10/16/2021,AL,Limestone County,1083,Medium metro,152,1586,
10/20/2021,01/01/2020,10/16/2021,AL,Lowndes County,1085,Medium metro,10,154,
10/20/2021,01/01/2020,10/16/2021,AL,Macon County,1087,Noncore,13,286,
10/20/2021,01/01/2020,10/16/2021,AL,Madison County,1089,Medium metro,927,8307,
10/20/2021,01/01/2020,10/16/2021,AL,Marengo County,1091,Noncore,91,531,
10/20/2021,01/01/2020,10/16/2021,AL,Marion County,1093,Noncore,95,748,
