state,county,maskdays,days,maskcoverage
AL,Autauga County,267,493,0.54
AL,Baldwin County,267,493,0.54
AL,Barbour County,267,493,0.54
AL,Bibb County,267,493,0.54
AL,Blount County,267,493,0.54
AL,Bullock County,267,493,0.54
AL,Butler County,267,493,0.54
AL,Calhoun County,267,493,0.54
AL,Chambers County,267,493,0.54
AL,Cherokee County,267,493,0.54
AL,Chilton County,267,493,0.54
AL,Choctaw County,267,493,0.54
AL,Clarke County,267,493,0.54
AL,Clay County,267,493,0.54
AL,Cleburne County,267,493,0.54
AL,Coffee County,267,493,0.54
AL,Colbert County,267,493,0.54
AL,Conecuh County,267,493,0.54
AL,Coosa County,267,493,0.54
AL,Covington County,267,493,0.54
AL,Crenshaw County,267,493,0.54
AL,Cullman County,267,493,0.54
AL,Dale County,267,493,0.54
AL,Dallas County,267,493,0.54
AL,DeKalb County,267,493,0.54
AL,Elmore County,267,493,0.54
AL,Escambia County,267,493,0.54
AL,Etowah County,267,493,0.54
AL,Fayette County,267,493,0.54
AL,Franklin County,267,493,0.54
AL,Geneva County,267,493,0.54
AL,Greene County,267,493,0.54
AL,Hale County,267,493,0.54
AL,Henry County,267,493,0.54
AL,Houston County,267,493,0.54
AL,Jackson County,267,493,0.54
AL,Jefferson County,267,493,0.54
AL,Lamar County,267,493,0.54
AL,Lauderdale County,267,493,0.54
AL,Lawrence County,267,493,0.54
AL,Lee County,267,493,0.54
AL,Limestone County,267,493,0.54
AL,Lowndes County,267,493,0.54
AL,Macon County,267,493,0.54
AL,Madison County,267,493,0.54
AL,Marengo County,267,493,0.54
AL,Marion County,267,493,0.54
AL,Marshall County,267,493,0.54
AL,Mobile County,267,493,0.54
AL,Monroe County,267,493,0.54
AL,Montgomery County,267,493,0.54
AL,Morgan County,267,493,0.54
AL,Perry County,267,493,0.54
AL,Pickens County,267,493,0.54
AL,Pike County,267,493,0.54
AL,Randolph County,267,493,0.54
AL,Russell County,267,493,0.54
AL,St. Clair County,267,493,0.54
AL,Shelby County,267,493,0.54
AL,Sumter County,267,493,0.54
AL,Talladega County,267,493,0.54
AL,Tallapoosa County,267,493,0.54
AL,Tuscaloosa County,267,493,0.54
AL,Walker County,267,493,0.54
AL,Washington County,267,493,0.54
AL,Wilcox County,267,493,0.54
AL,Winston County,267,493,0.54
AK,Aleutians East Borough,0,493,0
AK,Aleutians West Census Area,0,493,0
AK,Anchorage Municipality,0,493,0
AK,Bethel Census Area,0,493,0
AK,Bristol Bay Borough,0,493,0
AK,Denali Borough,0,493,0
AK,Dillingham Census Area,0,493,0
AK,Fairbanks North Star Borough,0,493,0
AK,Haines Borough,0,493,0
AK,Hoonah-Angoon Census Area,0,493,0
AK,Juneau City and Borough,0,493,0
AK,Kenai Peninsula Borough,0,493,0
AK,Ketchikan Gateway Borough,0,493,0
AK,Kodiak Island Borough,0,493,0
AK,Kusilvak Census Area,0,493,0
AK,Lake and Peninsula Borough,0,493,0
AK,Matanuska-Susitna Borough,0,493,0
AK,Nome Census Area,0,493,0
AK,North Slope Borough,0,493,0
AK,Northwest Arctic Borough,0,493,0
AK,Petersburg Borough,0,493,0
AK,Prince of Wales-Hyder Census Area,0,493,0
AK,Sitka City and Borough,0,493,0
AK,Skagway Municipality,0,493,0
AK,Southeast Fairbanks Census Area,0,493,0
AK,Valdez-Cordova Census Area,0,493,0
AK,Wrangell City and Borough,0,493,0
AK,Yakutat City and Borough,0,493,0
AK,Yukon-Koyukuk Census Area,0,493,0
AZ,Apache County,0,493,0
AZ,Cochise County,0,493,0
AZ,Coconino County,0,493,0
AZ,Gila County,0,493,0
AZ,Graham County,0,493,0
AZ,Greenlee County,0,493,0
AZ,La Paz County,0,493,0
AZ,Maricopa County,0,493,0
AZ,Mohave County,0,493,0
AZ,Navajo County,0,493,0
AZ,Pima County,0,493,0
AZ,Pinal County,0,493,0
AZ,Santa Cruz County,0,493,0
AZ,Yavapai County,0,493,0
AZ,Yuma County,0,493,0
AR,Arkansas County,254,493,0.52
AR,Ashley County,254,493,0.52
AR,Baxter County,254,493,0.52
AR,Benton County,254,493,0.52
AR,Boone County,254,493,0.52
AR,Bradley County,254,493,0.52
AR,Calhoun County,254,493,0.52
AR,Carroll County,254,493,0.52
